id,kanji,strokes,onreading,kunreading
1,亜,7,a,-
2,哀,9,ai,"awa(re), awa(remu)"
3,挨,10,ai,-
4,愛,13,ai,-
5,曖,17,ai,-
6,悪,11,"aku, 	o",waru(i)
7,握,12,aku,nigi(ru)
8,圧,5,atsu,-
9,扱,6,-,atsuka(u)
10,宛,8,-,a(teru)
11,嵐,12,-,arashi
12,安,6,an,yasu(i)
13,案,10,an,-
14,暗,13,an,kura(i)
15,以,5,i,-
16,衣,6,i,koromo
17,位,7,i,kurai
18,囲,7,i,"kako(mu), kako(u)"
19,医,7,i,-
20,依,8,"i, [e	]",-
21,委,8,i,yuda(neru)
22,威,9,i,-
23,為,9,i,-
24,畏,9,i,oso(reru)
25,胃,9,i,-
26,尉,11,i,-
27,異,11,i,koto(naru)
28,移,11,i,"utsu(ru), utsu(su)"
29,萎,11,i,na(eru)
30,偉,12,i,era(i)
31,椅,12,i,-
32,彙,13,i,-
33,意,13,i,-
34,違,13,i,"chiga(u), chiga(eru)"
35,維,14,i,-
36,慰,15,i,"nagusa(meru), nagusa(mu)"
37,遺,15,"i, [yui]",-
38,緯,16,i,-
39,域,11,iki,-
40,育,8,iku,"soda(tsu), soda(teru), haguku(mu)"
41,一,1,"ichi, 	itsu","hito, hito(tsu)"
42,壱,7,ichi,-
43,逸,11,itsu,-
44,茨,9,-,[ibara]
45,芋,6,-,imo
46,引,4,in,"hi(ku), hi(keru)"
47,印,6,in,shirushi
48,因,6,in,yo(ru)
49,咽,9,in,-
50,姻,9,in,-
51,員,10,in,-
52,院,10,in,-
53,淫,11,in,mida(ra)
54,陰,11,in,"kage, kage(ru)"
55,飲,12,in,no(mu)
56,隠,14,in,"kaku(su), kaku(reru)"
57,韻,19,in,-
58,右,5,"u, 	yuu",migi
59,宇,6,u,-
60,羽,6,u,"ha, hane"
61,雨,8,u,"ame, [ama]"
62,唄,10,-,[uta]
63,鬱,29,utsu,-
64,畝,10,-,une
65,浦,10,-,ura
66,運,12,un,hako(bu)
67,雲,12,un,kumo
68,永,5,ei,naga(i)
